line|es|normal	10	0 4 8 11
line|es|normal	11	0 9
line|es|normal	12	0 10
line|es|normal	13	0 5 9 12 15 18 22 25
line|es|normal	14	0 9 13 17
line|es|strict	0	0 4 10
line|es|strict	1	0 1 2 7 8 9
line|es|strict	2	0 1 3 4
line|es|strict	3	0 4 8 11
line|es|strict	4	0 1 4 5 6
line|es|strict	5	0 1 2 3 5 6 7
line|es|strict	6	0 4 10 13 21
line|es|strict	7	0 4 5 6 8 16 20 22 29
line|es|strict	8	0 2 3 6 7 8 12
line|es|strict	9	0 2 5 7 10 11
line|es|strict	10	0 4 8 11
line|es|strict	11	0 9
line|es|strict	12	0 10
line|es|strict	13	0 5 9 12 15 18 22 25
line|es|strict	14	0 9 13 17
line|it|default	0	0 4 10
line|it|default	1	0 1 2 7 8 9
line|it|default	2	0 1 3 4
line|it|default	3	0 4 8 11
line|it|default	4	0 1 4 5 6
line|it|default	5	0 1 2 3 5 6 7
line|it|default	6	0 4 10 13 21
line|it|default	7	0 4 5 6 8 16 20 22 29
line|it|default	8	0 2 3 6 7 8 12
line|it|default	9	0 2 5 7 10 11
line|it|default	10	0 4 8 11
line|it|default	11	0 9
line|it|default	12	0 10
line|it|default	13	0 5 9 12 15 18 22 25
line|it|default	14	0 9 13 17
line|it|loose	0	0 4 10
line|it|loose	1	0 1 2 7 8 9
line|it|loose	2	0 1 2 3 4
line|it|loose	3	0 4 8 11
line|it|loose	4	0 1 4 5 6
line|it|loose	5	0 1 2 3 5 6 7
line|it|loose	6	0 4 10 13 21
line|it|loose	7	0 4 5 6 8 16 20 22 29
line|it|loose	8	0 2 3 6 7 8 10 11 12
line|it|loose	9	0 1 2 3 4 5 6 7 9 10 11
line|it|loose	10	0 4 8 11
line|it|loose	11	0 9
line|it|loose	12	0 10
line|it|loose	13	0 5 9 12 15 18 22 25
line|it|loose	14	0 9 13 17
line|it|normal	0	0 4 10
line|it|normal	1	0 1 2 7 8 9
line|it|normal	2	0 1 2 3 4
line|it|normal	3	0 4 8 11
line|it|normal	4	0 1 4 5 6
line|it|normal	5	0 1 2 3 5 6 7
line|it|normal	6	0 4 10 13 21
line|it|normal	7	0 4 5 6 8 16 20 22 29
line|it|normal	8	0 2 3 6 7 8 10 11 12
line|it|normal	9	0 1 2 5 6 7 10 11
line|it|normal	10	0 4 8 11
line|it|normal	11	0 9
line|it|normal	12	0 10
line|it|normal	13	0 5 9 12 15 18 22 25
line|it|normal	14	0 9 13 17
line|it|strict	0	0 4 10
line|it|strict	1	0 1 2 7 8 9
line|it|strict	2	0 1 3 4
line|it|strict	3	0 4 8 11
line|it|strict	4	0 1 4 5 6
line|it|strict	5	0 1 2 3 5 6 7
line|it|strict	6	0 4 10 13 21
line|it|strict	7	0 4 5 6 8 16 20 22 29
line|it|strict	8	0 2 3 6 7 8 12
line|it|strict	9	0 2 5 7 10 11
line|it|strict	10	0 4 8 11
line|it|strict	11	0 9
line|it|strict	12	0 10
line|it|strict	13	0 5 9 12 15 18 22 25
line|it|strict	14	0 9 13 17
line|pt|default	0	0 4 10
line|pt|default	1	0 1 2 7 8 9
line|pt|default	2	0 1 3 4
line|pt|default	3	0 4 8 11
line|pt|default	4	0 1 4 5 6
line|pt|default	5	0 1 2 3 5 6 7
line|pt|default	6	0 4 10 13 21
line|pt|default	7	0 4 5 6 8 16 20 22 29
line|pt|default	8	0 2 3 6 7 8 12
line|pt|default	9	0 2 5 7 10 11
line|pt|default	10	0 4 8 11
line|pt|default	11	0 9
line|pt|default	12	0 10
line|pt|default	13	0 5 9 12 15 18 22 25
line|pt|default	14	0 9 13 17
line|pt|loose	0	0 4 10
line|pt|loose	1	0 1 2 7 8 9
line|pt|loose	2	0 1 2 3 4
line|pt|loose	3	0 4 8 11
line|pt|loose	4	0 1 4 5 6
line|pt|loose	5	0 1 2 3 5 6 7
line|pt|loose	6	0 4 10 13 21
line|pt|loose	7	0 4 5 6 8 16 20 22 29
line|pt|loose	8	0 2 3 6 7 8 10 11 12
line|pt|loose	9	0 1 2 3 4 5 6 7 9 10 11
line|pt|loose	10	0 4 8 11
line|pt|loose	11	0 9
line|pt|loose	12	0 10
line|pt|loose	13	0 5 9 12 15 18 22 25
line|pt|loose	14	0 9 13 17
line|pt|normal	0	0 4 10
line|pt|normal	1	0 1 2 7 8 9
line|pt|normal	2	0 1 2 3 4
line|pt|normal	3	0 4 8 11
line|pt|normal	4	0 1 4 5 6
line|pt|normal	5	0 1 2 3 5 6 7
line|pt|normal	6	0 4 10 13 21
line|pt|normal	7	0 4 5 6 8 16 20 22 29
line|pt|normal	8	0 2 3 6 7 8 10 11 12
line|pt|normal	9	0 1 2 5 6 7 10 11
line|pt|normal	10	0 4 8 11
line|pt|normal	11	0 9
line|pt|normal	12	0 10
