# libicucore u_getVersion=78.1 uloc_getDefault=en_US_POSIX; 36 BMP Line_Break=QU characters
# locale	behavior	quote	left	right	text(hex)	ubrk_open	openBinaryRules
# overrides (empty): U+201C->OP U+201D->CL U+2018->OP
(empty)	default	U+201C	ID 中	HY -	4E2D 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	SP	4E2D 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	OP (	4E2D 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	CP )	4E2D 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	EX !	4E2D 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	IS ,	4E2D 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	GL NBSP	4E2D 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	B2 —	4E2D 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	SA ก	4E2D 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	sot/eot	AC00 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	H2 가	AL a	AC00 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	NU 1	AC00 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	HY -	AC00 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	SP	AC00 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	OP (	AC00 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	CP )	AC00 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	EX !	AC00 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	IS ,	AC00 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	GL NBSP	AC00 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	B2 —	AC00 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	H2 가	SA ก	AC00 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	sot/eot	3042 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	ID あ	AL a	3042 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	NU 1	3042 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	HY -	3042 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	SP	3042 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	OP (	3042 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	CP )	3042 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	EX !	3042 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	IS ,	3042 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	GL NBSP	3042 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	B2 —	3042 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID あ	SA ก	3042 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	sot/eot	3001 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	CL 、	AL a	3001 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	NU 1	3001 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	HY -	3001 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	SP	3001 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	OP (	3001 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	CP )	3001 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	EX !	3001 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	IS ,	3001 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	GL NBSP	3001 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	B2 —	3001 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CL 、	SA ก	3001 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	sot/eot	2014 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	B2 —	AL a	2014 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	NU 1	2014 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	HY -	2014 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	SP	2014 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	OP (	2014 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	CP )	2014 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	EX !	2014 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	IS ,	2014 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	ID 中	2014 201C 4E2D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	H2 가	2014 201C AC00	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	ID あ	2014 201C 3042	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	CL 、	2014 201C 3001	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	GL NBSP	2014 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	B2 —	2014 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	B2 —	SA ก	2014 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201D	sot/eot	AL a	201D 0061	0 1 2	0 2	emulation-ok
