language	serif	sans-serif	cursive	fantasy	monospace
ln-AO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ln-CD	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ln-CF	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ln-CG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lo	Lao Sangam MN	Lao Sangam MN	Lao Sangam MN	Lao Sangam MN	Menlo
lo-LA	Lao Sangam MN	Lao Sangam MN	Lao Sangam MN	Lao Sangam MN	Menlo
lrc	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
lrc-IQ	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
lrc-IR	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
lt	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lt-LT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lu	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lu-CD	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
luo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
luo-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lut	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
luy	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
luy-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lv-LV	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mai	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mai-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mas	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mas-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mas-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mer	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mer-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mfe	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mfe-MU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mg-MG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
